epoch,train_loss,train_acc,val_loss,val_acc
1,1.9350293320933665,0.10236220472440945,1.7546270994039683,0.11538461538461539
2,1.6329372332790706,0.23622047244094488,1.6373908519744873,0.19230769230769232
3,1.4494197809790064,0.33070866141732286,1.4882685496256902,0.2692307692307692
4,1.2143041608840461,0.5196850393700787,1.3656364404238188,0.4230769230769231
5,1.023518995037229,0.6771653543307087,1.2468772301307092,0.5384615384615384
6,0.8832977320265583,0.8346456692913385,1.1419094480001009,0.7307692307692307
7,0.8077378709485211,0.8976377952755905,1.0540433480189397,0.8076923076923077
8,0.6777859907450638,0.8976377952755905,0.976226059290079,0.8076923076923077
9,0.607516338036755,0.9133858267716536,0.8997788841907794,0.8461538461538461
10,0.4810513377658964,0.984251968503937,0.8367809928380526,0.8461538461538461
11,0.46580268454363966,0.968503937007874,0.7813550646488483,0.8846153846153846
12,0.3784802673369881,0.9763779527559056,0.7430921655434829,0.8076923076923077
13,0.34119270683273556,0.9763779527559056,0.7160966854829055,0.8076923076923077
14,0.324628249397428,0.9763779527559056,0.6800537338623633,0.8461538461538461
15,0.32422781366062914,0.968503937007874,0.6493599185576806,0.8461538461538461
16,0.28006046846156984,0.952755905511811,0.6140554134662335,0.8461538461538461
17,0.2183715593157791,1.0,0.5968357920646667,0.8461538461538461
18,0.24814931426461287,0.9921259842519685,0.5756194545672491,0.8846153846153846
19,0.2282254590293554,0.9921259842519685,0.553387843645536,0.8461538461538461
20,0.1995197064059926,0.9921259842519685,0.5456249026151804,0.8461538461538461
21,0.16321081984934843,1.0,0.5317830672630897,0.8461538461538461
22,0.17342795959607823,0.984251968503937,0.5288315231983478,0.8461538461538461
23,0.15411801460221058,0.9921259842519685,0.5097750975535467,0.8846153846153846
24,0.14835439000542708,0.984251968503937,0.4938699694780203,0.8846153846153846
25,0.11544891417495848,1.0,0.48026867554737973,0.8846153846153846
26,0.10463226545514084,0.9921259842519685,0.4760692073748662,0.8846153846153846
27,0.10079182954285089,1.0,0.45998576741952163,0.8846153846153846
28,0.09150518042834725,1.0,0.45706518109028155,0.8846153846153846
29,0.10730709252864357,1.0,0.45353660445946914,0.8461538461538461
30,0.08707835566340469,1.0,0.4344944334947146,0.8846153846153846
31,0.0740798485326016,1.0,0.43879622450241673,0.8846153846153846
32,0.07556957604847556,1.0,0.4284825554260841,0.8846153846153846
33,0.07820447883385373,1.0,0.4322899373678061,0.8846153846153846
34,0.05959508186719549,1.0,0.41822646443660444,0.8846153846153846
35,0.0813334584236145,1.0,0.4014789897661943,0.8846153846153846
36,0.0586343043315129,1.0,0.40062318856899554,0.8846153846153846
37,0.06755591565229761,0.984251968503937,0.39473771819701564,0.8846153846153846
38,0.05970221793088387,1.0,0.392909987614705,0.8846153846153846
39,0.05043647966281636,1.0,0.39246846391604495,0.8846153846153846
40,0.057285100984291765,1.0,0.3930164873600006,0.8846153846153846
41,0.06099824314042339,1.0,0.3824572769495157,0.8846153846153846
42,0.05293412550579844,1.0,0.3756601604131552,0.8846153846153846
43,0.0417282091468338,1.0,0.366693560893719,0.8846153846153846
44,0.06183264979461985,0.9921259842519685,0.3833395219766177,0.8846153846153846
45,0.04536469503650515,1.0,0.3636462092399597,0.8846153846153846
46,0.0322926014251127,1.0,0.3721323746901292,0.8846153846153846
47,0.03973019105477596,1.0,0.3544566470843095,0.8846153846153846
48,0.03015590808170987,1.0,0.3540412485599518,0.8846153846153846
49,0.052880662515407476,1.0,0.352870164009241,0.8846153846153846
50,0.035580735624305845,1.0,0.36639202328828663,0.8846153846153846
