epoch,train_loss,train_acc,val_loss,val_acc,LR,max_batch_loss
1,1.7382566622948983,0.5305633802816901,0.8541075599845805,0.7765326301911668,5e-05,3.526296615600586
2,0.40515012345683404,0.9292957746478874,0.3586920430452791,0.928806855636124,5e-05,0.6655116677284241
3,0.08945939458801713,0.993943661971831,0.21402865357515288,0.944627554383652,5e-05,0.21052373945713043
4,0.03336234613623418,0.9994366197183099,0.11768656816326165,0.970336189848385,5e-05,0.07770787179470062
5,0.017755672889958385,0.9998591549295774,0.09620203499190495,0.978246539222149,5e-05,0.033799946308135986
6,0.012001191568626484,0.9998591549295774,0.0932834426882869,0.979564930784443,5e-05,0.0596134252846241
7,0.008202787437279459,1.0,0.08026723211524356,0.98022412656559,5e-05,0.019878773018717766
8,0.006195570568121235,1.0,0.09442284107994074,0.975609756097561,5e-05,0.023234231397509575
9,0.005539310410303969,1.0,0.07540927885803803,0.98022412656559,5e-05,0.016274254769086838
10,0.004003656167589443,1.0,0.0713115868428151,0.981542518127884,5e-05,0.00788351334631443
11,0.0033990078155790838,1.0,0.07066235165790107,0.978905735003296,5e-05,0.007966380566358566
12,0.003093716380724185,1.0,0.07661301823886665,0.976928147659855,5e-05,0.011449729092419147
13,0.0024377266585853107,1.0,0.06828533376007781,0.98022412656559,5e-05,0.007003053091466427
14,0.002210782931028852,1.0,0.07206848124748166,0.978905735003296,5e-05,0.004320490639656782
15,0.001917203891641972,1.0,0.06822587489521889,0.980883322346737,5e-05,0.004837034735828638
16,0.011822079674039088,0.9971830985915493,1.953338141730528,0.5095583388266315,5e-05,0.15805713832378387
17,0.13680357857909,0.96,0.23813088400315202,0.9255108767303889,5e-05,0.3061632812023163
18,0.023173487275628978,0.9954929577464788,0.08152304811988839,0.975609756097561,5e-05,0.12300019711256027
19,0.007459774751898268,0.9995774647887324,0.05271923878575794,0.98681608437706,5e-05,0.09172623604536057
20,0.0060719434610030185,0.9991549295774648,0.05836863229118764,0.98022412656559,5e-05,0.15644648671150208
21,0.0029592057810702795,0.9998591549295774,0.05215257212725924,0.986156888595913,5e-05,0.0518418624997139
22,0.002010177158763711,1.0,0.05179918282858698,0.985497692814766,5e-05,0.0062314243987202644
23,0.0013565610990610342,1.0,0.050276656860415686,0.987475280158207,5e-05,0.004390140064060688
24,0.0012249904482061385,1.0,0.04887567429902154,0.988793671720501,5e-05,0.004365984350442886
25,0.0009941330314023604,1.0,0.04887780256326272,0.988134475939354,5e-05,0.0032595479860901833
26,0.00090086258901939,1.0,0.04543589808454463,0.988793671720501,5e-05,0.0023048538714647293
27,0.0008471602606128009,1.0,0.04577859040551089,0.987475280158207,5e-05,0.004024934489279985
28,0.0007603727035145735,1.0,0.04512610965535467,0.989452867501648,5e-05,0.0022916330490261316
29,0.0007289273437919279,1.0,0.04652495511261723,0.987475280158207,5e-05,0.002425359096378088
30,0.0006244455158881003,1.0,0.049337295628715756,0.987475280158207,5e-05,0.001686481642536819
31,0.0006197558503112637,1.0,0.04829787101102999,0.98681608437706,5e-05,0.0016524224774912
32,0.0005625452958604872,1.0,0.045836508248293564,0.988793671720501,5e-05,0.002099133562296629
33,0.0005285101769734699,1.0,0.0494212269839501,0.988793671720501,5e-05,0.0015544363996014
34,0.00043543132613937724,1.0,0.04806991434001027,0.987475280158207,5e-05,0.0017223645700141788
35,0.0004372780952064819,1.0,0.04738760764981346,0.989452867501648,5e-05,0.0010531783336773515
36,0.00045485470553820715,1.0,0.0466000625228874,0.990112063282795,5e-05,0.0029177581891417503
37,0.00038278807320264757,1.0,0.04464784313064503,0.989452867501648,5e-05,0.0012637643376365304
38,0.00036808973027419457,1.0,0.04595054954354238,0.988793671720501,5e-05,0.0009698926587589085
39,0.000355319496060551,1.0,0.04722572724170978,0.987475280158207,5e-05,0.001408295938745141
40,0.00031866247524690985,1.0,0.046201443627486516,0.988793671720501,5e-05,0.001045909128151834
41,0.0003247498695633676,1.0,0.04768141866560311,0.988134475939354,5e-05,0.0014488882152363658
42,0.0003118907818718302,1.0,0.048065961495130254,0.988134475939354,5e-05,0.0008873206097632647
43,0.0002940785132256717,1.0,0.04624488274582177,0.988793671720501,5e-05,0.0010046405950561166
44,0.0002586860856054429,1.0,0.04608882402408139,0.987475280158207,5e-05,0.0010398880112916231
45,0.00023499799631601594,1.0,0.04813452251930828,0.988793671720501,5e-05,0.0010789064690470695
46,0.00022636390055044437,1.0,0.04542285263115981,0.988793671720501,5e-05,0.0012212831061333418
47,0.00021683309818322863,1.0,0.04414140094309829,0.98681608437706,5e-05,0.0008635551785118878
48,0.00020601121213575693,1.0,0.048797262247452906,0.98681608437706,5e-05,0.0005735382437705994
49,0.000192336120796849,1.0,0.04895335203435716,0.988134475939354,5e-05,0.0007690063212066889
50,0.0001882052827629746,1.0,0.04752230172364155,0.988793671720501,5e-05,0.0015576385194435716
