epoch,train_loss,train_acc,val_loss,val_acc,LR,max_batch_loss
1,1.3142236788340018,0.6112676056338028,0.734399356257389,0.7607119314436388,0.0002,3.376106023788452
2,0.18007995598752732,0.959718309859155,0.4057857097766866,0.8793671720500988,0.0002,0.41000887751579285
3,0.04700904478909264,0.9919718309859155,0.36900450632064535,0.8813447593935398,0.0002,0.11098359525203705
4,0.032331042223623103,0.9935211267605634,0.25096897796611684,0.9176005273566249,0.0002,0.16112716495990753
5,0.021875299475562406,0.9960563380281691,0.39448109122782693,0.8852999340804218,0.0002,0.13785257935523987
6,0.048105992838530474,0.9870422535211267,0.5097300421468663,0.8529993408042189,0.0002,0.15080629289150238
7,0.029630218465143528,0.9940845070422535,0.5466323658362297,0.8233355306526038,0.0002,0.08896930515766144
8,0.021794670279806767,0.9959154929577465,0.2635383528160593,0.9215557020435069,0.0002,0.049186673015356064
9,0.0168027981019146,0.9971830985915493,0.10455605813996448,0.968358602504944,0.0002,0.04696665704250336
10,0.015939083214796763,0.9969014084507042,0.14515978534047197,0.9591298615688859,0.0002,0.09356462210416794
11,0.01071392728881517,0.9977464788732394,0.08733181286561466,0.972313777191826,0.0002,0.05411872640252113
12,0.008859253564036228,0.9985915492957746,0.5588632924390138,0.8549769281476599,0.0002,0.07531161606311798
13,0.03420171989941261,0.9915492957746479,0.5817439414870212,0.8384970336189849,0.0002,0.297983318567276
14,0.05441887652790043,0.986056338028169,1.181807455925385,0.7191825972313777,0.0002,0.15970055758953094
15,0.02785228699130911,0.9925352112676057,0.49935988171287643,0.8490441661173368,0.0002,0.11459988355636597
16,0.02264655302842738,0.9940845070422535,0.41105206140814915,0.8951878707976269,0.0002,0.15992747247219086
17,0.015951380424831116,0.9961971830985915,0.09386881348543757,0.972313777191826,0.0002,0.06769367307424545
18,0.0035611608830070727,0.9992957746478873,0.03598491434467098,0.990771259063942,0.0002,0.018631858751177788
19,0.0008128064309417362,1.0,0.02334937907512261,0.994726433750824,0.0002,0.0028923479840159416
20,0.0005726724187843502,1.0,0.020185849873684273,0.995385629531971,0.0002,0.002406056271865964
21,0.0003713281558413373,1.0,0.020800032952816357,0.994726433750824,0.0002,0.000823242764454335
22,0.0002872277664768339,1.0,0.02007003733934313,0.995385629531971,0.0002,0.0007899164920672774
23,0.00026224825650938906,1.0,0.019490385409960266,0.996044825313118,0.0002,0.0006173286819830537
24,0.00021816460433757116,1.0,0.02022320992565341,0.995385629531971,0.0002,0.0007279800483956933
25,0.0002133246141807242,1.0,0.0204048017346857,0.996044825313118,0.0002,0.000978618860244751
26,0.00020915696158034492,1.0,0.020096516508017234,0.996044825313118,0.0002,0.0006611992139369249
27,0.00017891785011849774,1.0,0.018956594353547258,0.996704021094265,0.0002,0.0009938061702996492
28,0.00014661003792868323,1.0,0.020132790909909406,0.996044825313118,0.0002,0.0009585763909853995
29,0.00014526220912877865,1.0,0.02039128955746476,0.996044825313118,0.0002,0.0003081932954955846
30,0.00012918400407676964,1.0,0.02018661401019694,0.996044825313118,0.0002,0.0002577531849965453
31,0.00012737597389684492,1.0,0.01962988419444764,0.996044825313118,0.0002,0.0006007799529470503
32,0.0001325889963420554,1.0,0.02002774993965774,0.996704021094265,0.0002,0.0008080046391114593
33,0.00011395827503087864,1.0,0.019098099914944842,0.996044825313118,0.0002,0.0003189369454048574
34,0.0001092180261194942,1.0,0.019191991244660703,0.996704021094265,0.0002,0.00025882336194626987
35,0.00013974571722710479,1.0,0.01940014254111163,0.996044825313118,0.0002,0.0013949951389804482
36,0.00010146501626570145,1.0,0.02138291721615324,0.996044825313118,0.0002,0.00033728344715200365
37,0.0036858000333460286,0.9991549295774648,1.1655508092774634,0.7435728411338167,0.0002,0.10405144095420837
38,0.11773889347071378,0.9645070422535211,1.3577915141672072,0.6275543836519446,0.0002,0.3356916308403015
39,0.12617600746557747,0.9611267605633803,2.5343028989840906,0.4106789716545814,0.0002,0.300661563873291
40,0.030517534529134423,0.9926760563380281,0.13187208082882998,0.9591298615688859,0.0002,0.09280963242053986
41,0.013752694054913353,0.9956338028169014,0.1502755957329615,0.9551746868820039,0.0002,0.0582817867398262
42,0.005094932611821822,0.9991549295774648,0.04019110794710186,0.990771259063942,0.0002,0.03872304409742355
43,0.001235051831938851,1.0,0.025589401474567567,0.994067237969677,0.0002,0.009033598937094212
44,0.0012821743777021765,0.9997183098591549,0.028108158980078145,0.995385629531971,0.0002,0.02528224140405655
45,0.0008498123833175067,1.0,0.026181691739678718,0.994067237969677,0.0002,0.004484616219997406
46,0.00044628094527608073,1.0,0.022926521531429607,0.996704021094265,0.0002,0.0026547866873443127
47,0.00032779443330249524,1.0,0.02206363697581106,0.996044825313118,0.0002,0.0029977925587445498
48,0.0002434767303909634,1.0,0.01938047957248696,0.997363216875412,0.0002,0.0012795401271432638
49,0.0002040081148849092,1.0,0.0195432971517114,0.998681608437706,0.0002,0.000900916988030076
50,0.00016196255952539577,1.0,0.0191535908172009,0.997363216875412,0.0002,0.0003325585275888443
