epoch,train_loss,train_acc,val_loss,val_acc,LR,max_batch_loss
1,4.114786478058766,0.1848135593220339,1.9599423505328029,0.40482233502538073,5e-05,7.033777713775635
2,0.9180591981855489,0.744135593220339,0.5418560786295663,0.8546954314720813,5e-05,1.7360262870788574
3,0.15113873926865853,0.9739661016949153,0.2629255202367221,0.9263959390862944,5e-05,0.3096025884151459
4,0.03199721327626099,0.9982372881355932,0.1766137319621701,0.950507614213198,5e-05,0.06804189085960388
5,0.01415832535644709,0.9997288135593221,0.16062772693821623,0.9536802030456852,5e-05,0.030402978882193565
6,0.00776295964205164,0.999864406779661,0.14170268824711668,0.9593908629441624,5e-05,0.015408589504659176
7,0.0057823251680297364,1.0,0.13482257404227546,0.9606598984771574,5e-05,0.020917020738124847
8,0.004521075834535947,1.0,0.1217466428649002,0.9612944162436549,5e-05,0.011196503415703773
9,0.003436724666948036,1.0,0.12912280120069,0.9670050761421319,5e-05,0.009226866997778416
10,0.0025464016541964928,1.0,0.11763935033137424,0.9663705583756346,5e-05,0.006747159641236067
11,0.002040984330130583,1.0,0.10859232569860323,0.9670050761421319,5e-05,0.004679196514189243
12,0.0016465951270123913,1.0,0.1109115189026455,0.9644670050761421,5e-05,0.0030529298819601536
13,0.0015876812510571237,1.0,0.11278977638422535,0.9657360406091371,5e-05,0.005090557504445314
14,0.001355803399362554,1.0,0.10892949136078055,0.9657360406091371,5e-05,0.0037545643281191587
15,0.001128446585104122,1.0,0.1028865405599478,0.9670050761421319,5e-05,0.003138819243758917
16,0.0010008086803984845,1.0,0.10005827804053495,0.9708121827411168,5e-05,0.0031295663211494684
17,0.0009021735849585068,1.0,0.09785856317898949,0.9708121827411168,5e-05,0.0031165166292339563
18,0.000928081970472457,1.0,0.10357287416452078,0.9663705583756346,5e-05,0.0041996194049716
19,0.0007456613136613268,1.0,0.09815300600177745,0.9695431472081218,5e-05,0.0018363266717642546
20,0.0006915962906096573,1.0,0.09833431427324484,0.9701776649746193,5e-05,0.002405713777989149
