epoch,train_loss,train_acc,val_loss,val_acc,LR,batch_loss,batch_size
1,2.041183898247473,0.42526837324525185,1.0064195969574887,0.6807511737089202,6.592369962441428e-05,3.634014368057251,64
2,0.7982952118477741,0.7842003853564548,0.5428463290554817,0.8356807511737089,6.590743494129814e-05,1.2691199779510498,64
3,0.47309731982675035,0.8695293146160198,0.4459114601494561,0.8450704225352113,6.585865694322827e-05,0.8169775009155273,64
4,0.34728787126962457,0.9046242774566474,0.4194569233017908,0.863849765258216,6.577741376819975e-05,0.5958219766616821,64
5,0.2658351270121515,0.9262317643820533,0.37826957314017234,0.8779342723004695,6.566378559341771e-05,0.6493938565254211,64
6,0.22490203469999887,0.9376548307184145,0.44552203509169563,0.8732394366197183,6.551788455617217e-05,0.38986170291900635,64
7,0.20267691045892886,0.9394439856867602,0.3351547141764925,0.8967136150234741,6.533985464317205e-05,0.42134058475494385,64
8,0.1894303003503966,0.9430222956234517,0.2805895508734833,0.9014084507042254,6.512987154844765e-05,0.5516377091407776,64
9,0.18728646622884054,0.9441233140655106,0.3610292600703911,0.92018779342723,6.488814249996191e-05,0.5496453642845154,64
10,0.17642412093300613,0.9481145059179741,0.2822795293595589,0.9061032863849765,6.461490605510139e-05,0.4395746886730194,64
11,0.16562249851298996,0.949215524360033,0.378240791005148,0.92018779342723,6.431043186524892e-05,0.41857999563217163,64
12,0.1595399542441225,0.9504541701073493,0.2898707464949486,0.9107981220657277,6.397502040967029e-05,0.3164139986038208,64
13,0.1500249926606847,0.9562345169281585,0.21148947858964334,0.9389671361502347,6.360900269897741e-05,0.3846968412399292,64
14,0.14865093890904657,0.9547206165703276,0.286203182481684,0.8967136150234741,6.32127399484609e-05,0.3628283739089966,64
15,0.14468833320550345,0.958298926507019,0.2164569466392304,0.9436619718309859,6.278662322161415e-05,0.30193108320236206,64
16,0.1288882552953978,0.9618772364437105,0.23031183741462063,0.9389671361502347,6.233107304420083e-05,0.4106781482696533,64
17,0.12160551613117263,0.9622901183594825,0.24423826415039285,0.9248826291079812,6.184653898924682e-05,0.4556765556335449,64
18,0.12422985532478692,0.9592623176438205,0.2413266846306727,0.9342723004694836,6.133349923336587e-05,0.2469833791255951,64
19,0.11276433078539853,0.964767409854115,0.22820197469052014,0.9577464788732394,6.079246008485698e-05,0.29344356060028076,64
20,0.12119748624451325,0.9631158821910267,0.28972429191002824,0.92018779342723,6.022395548403928e-05,0.3335709571838379,64
21,0.11369562399656426,0.9646297825488577,0.2765781138455189,0.9389671361502347,5.962854647631739e-05,0.34120941162109375,64
22,0.09579968545560236,0.9690338563170933,0.2541668697089796,0.9436619718309859,5.900682065849732e-05,0.23591957986354828,64
23,0.10430897642085941,0.9665565648224608,0.26887869922402685,0.9389671361502347,5.835939159889941e-05,0.3490026593208313,64
