epoch,train_loss,train_acc,val_loss,val_acc,LR,batch_loss,batch_size
1,2.6100332621467563,0.27401596476740986,1.6416888225806152,0.5117370892018779,2.122628428680084e-05,3.578538417816162,40
2,1.4679718454974169,0.6101018442058904,1.0020948598082637,0.704225352112676,2.1221047341823162e-05,2.0140902996063232,40
3,0.9293347794819955,0.7581888246628131,0.7488441848558999,0.7652582159624414,2.1205341675122556e-05,1.377805471420288,40
4,0.6392369853738186,0.830167905312414,0.5866865902579447,0.8075117370892019,2.1179182786295887e-05,0.9994081258773804,40
5,0.4831849467055449,0.8775116983209469,0.4997113700343969,0.8403755868544601,2.1142596491008227e-05,0.731865644454956,40
6,0.3914560550439794,0.9002202036884118,0.4363795301304177,0.8779342723004695,2.1095618895515905e-05,0.7519694566726685,40
7,0.34077003790989024,0.9093036058353977,0.364437701381708,0.8967136150234741,2.1038296361034e-05,0.6733617782592773,40
8,0.2882342334460398,0.9223781998348473,0.3486818722646001,0.9061032863849765,2.0970685457983414e-05,0.6236115097999573,40
9,0.2684731754986274,0.9280209193503991,0.4382537001910064,0.8826291079812206,2.0892852910162692e-05,0.6774818301200867,40
10,0.25183273348193375,0.9327002477291495,0.4021184107489849,0.8967136150234741,2.08048755288997e-05,0.6595345139503479,40
11,0.2206881823755971,0.9372419488026424,0.31625508354373383,0.9107981220657277,2.0706840137248102e-05,0.6482494473457336,40
12,0.20842399810533893,0.9457748417285989,0.30457968207102426,0.9248826291079812,2.0598843484303503e-05,0.5594202876091003,40
13,0.20089246187858467,0.9445361959812827,0.329867818379696,0.9248826291079812,2.0480992149723764e-05,0.588111937046051,40
14,0.17872269620604664,0.9478392513074594,0.3135055444015304,0.9154929577464789,2.0353402438547754e-05,0.4734864830970764,40
15,0.18454719236607137,0.9467382328654005,0.27556842397854714,0.9248826291079812,2.0216200266416312e-05,0.45289650559425354,40
16,0.18256671095260274,0.9481145059179741,0.28163607237956756,0.9342723004694836,2.006952103530871e-05,0.5106313228607178,40
17,0.17135515775425914,0.9494907789705478,0.28097850855160067,0.92018779342723,1.9913509499917253e-05,0.4609134793281555,40
18,0.16422048881506415,0.9525185796862098,0.3317649603248552,0.9014084507042254,1.9748319624791875e-05,0.503071665763855,40
19,0.15152942690103138,0.9560968896229012,0.28460784028218666,0.9248826291079812,1.9574114432395704e-05,0.41233476996421814,40
20,0.14501354086015167,0.9578860445912469,0.2803273569626358,0.9389671361502347,1.9391065842221592e-05,0.441392719745636,40
21,0.1346370518195245,0.9607762180016516,0.30827228963689907,0.92018779342723,1.9199354501128316e-05,0.4068005681037903,40
22,0.14256087691309594,0.9566473988439307,0.2500256374915581,0.9342723004694836,1.8999169605063936e-05,0.4161907732486725,40
23,0.12780328708663152,0.95981282686485,0.28776349074823754,0.9107981220657277,1.8790708712352267e-05,0.4608767628669739,40
24,0.14065591436819763,0.9578860445912469,0.34821132275804945,0.9154929577464789,1.8574177548726618e-05,0.44319429993629456,40
25,0.1205784798390341,0.9639416460225709,0.2909006814126957,0.9248826291079812,1.8349789804303362e-05,0.4187973141670227,40
26,0.12595555694564098,0.9628406275805119,0.1930703821268475,0.9577464788732394,1.8117766922695586e-05,0.44920796155929565,40
27,0.11451421442326028,0.9666941921277181,0.22801652792928645,0.9389671361502347,1.7878337882474977e-05,0.3781866133213043,40
28,0.10906032666752662,0.9683457197908065,0.24784836769125865,0.9436619718309859,1.7631738971197613e-05,0.38477420806884766,40
29,0.12609350564614033,0.9631158821910267,0.2843850143133562,0.9295774647887324,1.7378213552216677e-05,0.5011954307556152,40
30,0.10823944955090091,0.9679328378750344,0.2926932149883709,0.9342723004694836,1.711801182451221e-05,0.40566426515579224,40
31,0.10192278278245599,0.9690338563170933,0.2744210184925616,0.9436619718309859,1.6851390575774917e-05,0.3191247582435608,40
32,0.10852399432122659,0.9668318194329755,0.2781247148036677,0.9342723004694836,1.6578612928987732e-05,0.3124724328517914,40
33,0.10817578340607047,0.9662813102119461,0.2522354152899655,0.9342723004694836,1.6299948082755184e-05,0.3772856593132019,40
34,0.1095559936831481,0.9680704651802917,0.2323273865958597,0.9436619718309859,1.60156710456369e-05,0.3332970142364502,40
35,0.09485761522108567,0.9715111478117259,0.2322204634875164,0.9389671361502347,1.5726062364747323e-05,0.3068074584007263,40
36,0.09741499241028251,0.9715111478117259,0.19891853928412945,0.9530516431924883,1.5431407848889618e-05,0.436026006937027,40
37,0.10090669641410176,0.9691714836223507,0.20666444520334856,0.9436619718309859,1.5131998286496865e-05,0.4021027684211731,40
38,0.09869656388507118,0.9687586017065786,0.2820907036485282,0.9248826291079812,1.4828129158658987e-05,0.540281355381012,40
39,0.09253096808362808,0.9721992843380126,0.2369326283212996,0.9530516431924883,1.4520100347518602e-05,0.3337463438510895,40
40,0.098460590018243,0.9690338563170933,0.22415833602803695,0.9342723004694836,1.420821584032353e-05,0.33655431866645813,40
41,0.09269909988222308,0.9710982658959537,0.19108619176161787,0.9530516431924883,1.3892783429428102e-05,0.47842612862586975,40
42,0.08284300817891918,0.9759152215799615,0.23379015366594907,0.9436619718309859,1.3574114408539257e-05,0.3492280840873718,40
43,0.08806597735879426,0.9737131846958437,0.21827517821510353,0.9436619718309859,1.325252326550723e-05,0.3317466676235199,40
44,0.09543140407189206,0.970410129369667,0.19996839310610973,0.9483568075117371,1.2928327371964034e-05,0.356679230928421,40
45,0.08286717866372831,0.9739884393063584,0.20930038036629908,0.9389671361502347,1.2601846670115945e-05,0.44209322333335876,40
46,0.08372900927859235,0.9739884393063584,0.21426235466425966,0.9436619718309859,1.2273403356999191e-05,0.3595183789730072,40
47,0.08735019079851232,0.9713735205064685,0.1948347306042962,0.9624413145539906,1.1943321566510384e-05,0.29018211364746094,40
48,0.07826074934968283,0.9766033581062483,0.20320963996851668,0.9530516431924883,1.1611927049525471e-05,0.3319992423057556,40
49,0.08058635758796434,0.9752270850536746,0.1695994595809022,0.9671361502347418,1.127954685242298e-05,0.3096093535423279,40
50,0.08146278228264167,0.9737131846958437,0.1847347222036844,0.9671361502347418,1.0946508994328698e-05,0.36939916014671326,40
51,0.07869875525013371,0.9760528488852188,0.18800158159448788,0.9624413145539906,1.0613142143400418e-05,0.35183823108673096,40
52,0.06770840531331455,0.9800440407376824,0.18481030507546636,0.9624413145539906,1.0279775292472138e-05,0.33759158849716187,40
53,0.07733392759982241,0.9763281034957335,0.18373168965018935,0.9577464788732394,9.946737434377856e-06,0.3439577519893646,40
54,0.0643935849071841,0.9803192953481971,0.1644183614984277,0.9671361502347418,9.614357237275363e-06,0.3008831739425659,40
55,0.07280715761802108,0.9771538673272777,0.18379618627666341,0.9577464788732394,9.282962720290454e-06,0.36852338910102844,40
56,0.07232018962475306,0.9793559042113955,0.17016617644866797,0.9671361502347418,8.952880929801645e-06,0.3477902114391327,40
57,0.078632874598641,0.9760528488852188,0.18233089523549528,0.9530516431924883,8.624437616684893e-06,0.30620813369750977,40
58,0.07448738322590964,0.9766033581062483,0.19334221929486647,0.9671361502347418,8.297956914836805e-06,0.3184766173362732,40
59,0.07316492459032568,0.9770162400220204,0.16277603219490622,0.9483568075117371,7.973761021293603e-06,0.4315428137779236,40
60,0.06561787828814342,0.9805945499587118,0.20704433443560374,0.9530516431924883,7.652169878261581e-06,0.3404611349105835,40
61,0.06356437619777584,0.9801816680429397,0.21397855337228225,0.9483568075117371,7.333500857372738e-06,0.27360108494758606,40
62,0.06453387676401101,0.9807321772639692,0.23342043207138513,0.9436619718309859,7.018068446477308e-06,0.3066978454589844,40
63,0.06495890390776977,0.9805945499587118,0.22053144571093727,0.9483568075117371,6.7061839392822396e-06,0.33130988478660583,40
64,0.05878482016171063,0.9818331957060281,0.20658499930609245,0.9624413145539906,6.398155128141848e-06,0.43547385931015015,40
65,0.06553118890615377,0.9797687861271677,0.19333268974759035,0.9530516431924883,6.0942860003039725e-06,0.35024523735046387,40
66,0.058555626959744776,0.9825213322323149,0.20319042584154878,0.9436619718309859,5.79487643791122e-06,0.22891218960285187,40
67,0.062294374173801896,0.9793559042113955,0.20811607664343879,0.9530516431924883,5.500221922053513e-06,0.2268851399421692,40
68,0.06701903268215502,0.9789430222956235,0.19163936740355872,0.9577464788732394,5.2106132411639405e-06,0.2914036810398102,40
69,0.061374517791373095,0.9804569226534544,0.1907617022893326,0.9530516431924883,4.926336204045653e-06,0.21460279822349548,40
