epoch,train_loss,train_acc,val_loss,val_acc,LR,batch_loss,batch_size
1,1.764240074004157,0.5061694915254237,0.7794762874012671,0.7411167512690355,9.791328150147311e-05,3.373368501663208,48
2,0.2685503073647871,0.9336949152542373,0.20818909310598663,0.9384517766497462,9.788912435456606e-05,0.6075628399848938,48
3,0.08324525826058145,0.9812881355932204,0.15841403243789062,0.9530456852791879,9.781667675403236e-05,0.26463019847869873,48
4,0.05087139147267503,0.9880677966101695,0.12483162457019394,0.9631979695431472,9.769601019690705e-05,0.2585802972316742,48
5,0.03518476376543611,0.9905084745762712,0.14891244548604574,0.9511421319796954,9.752724376651376e-05,0.14817532896995544,48
6,0.029858518985621,0.992406779661017,0.15552057865250685,0.9562182741116751,9.731054401494385e-05,0.2093658298254013,48
7,0.032026736131158924,0.992,0.13380468341280816,0.9600253807106599,9.704612479868967e-05,0.22461184859275818,48
8,0.03017248354422844,0.9898305084745763,0.2078204938461106,0.9397208121827412,9.673424706759392e-05,0.25981616973876953,48
9,0.03241531986882121,0.9909152542372881,0.08989688732748766,0.9746192893401016,9.637521860732374e-05,0.21245501935482025,48
10,0.02078816303787595,0.9940338983050847,0.060029271741274766,0.9790609137055838,9.596939373562341e-05,0.11583017557859421,48
11,0.024028062817845808,0.9926779661016949,0.04972915417458011,0.9860406091370558,9.551717295264544e-05,0.18056167662143707,48
12,0.019733712079350724,0.9941694915254238,0.11354211803057661,0.9606598984771574,9.501900254570537e-05,0.17816877365112305,48
13,0.016158200585299123,0.9966101694915255,0.050797538587476036,0.9854060913705583,9.447537414884998e-05,0.14605385065078735,48
14,0.01890682151560056,0.9940338983050847,0.03715900463042639,0.9904822335025381,9.388682425767394e-05,0.2574404180049896,48
15,0.006220535291642961,0.9986440677966102,0.035044989136737884,0.9892131979695431,9.325393369986337e-05,0.06667434424161911,48
16,0.006044818127748825,0.9987796610169491,0.041637495696381546,0.9873096446700508,9.257732706198897e-05,0.10034852474927902,48
17,0.013342609607188378,0.9962033898305085,0.04408195671781444,0.9854060913705583,9.185767207311466e-05,0.20159296691417694,48
18,0.006582011988291801,0.9979661016949153,0.028685040852587686,0.991751269035533,9.109567894582944e-05,0.07916866987943649,48
19,0.01719391102886806,0.9948474576271187,0.04465612631216102,0.9854060913705583,9.02920996753534e-05,0.3025205731391907,48
20,0.020977598984552138,0.9938983050847457,0.129262273805866,0.9625634517766497,8.94477272974092e-05,0.13616357743740082,48
21,0.011348937244612282,0.9963389830508474,0.0672381863672863,0.9841370558375635,8.856339510559155e-05,0.1626257747411728,48
22,0.01746481378281773,0.9945762711864407,0.11223372951064844,0.9727157360406091,8.763997582900706e-05,0.14769425988197327,48
23,0.016276623580794212,0.9955254237288136,0.08781680576107347,0.9758883248730964,8.667838077099596e-05,0.19347751140594482,48
24,0.010301497291710418,0.9975593220338983,0.03490254706552436,0.9879441624365483,8.567955890978574e-05,0.16129471361637115,48
25,0.014978419224431707,0.9959322033898305,0.054512495922544014,0.9873096446700508,8.464449596196416e-05,0.12429989129304886,48
26,0.00532226460695393,0.9990508474576271,0.023367605886101806,0.9942893401015228,8.357421340969608e-05,0.1182919517159462,48
27,0.003957606512469129,0.9989152542372881,0.03820547419855771,0.9911167512690355,8.24697674926438e-05,0.07654689252376556,48
28,0.0030320219475089305,0.9989152542372881,0.04677167743068309,0.9892131979695431,8.133224816558609e-05,0.04919038340449333,48
