epoch,train_loss,train_acc,val_loss,val_acc,LR,batch_loss,batch_size
1,3.2027135571301995,0.1392542372881356,2.928179467390031,0.22144670050761422,1.0841e-05,3.3772315979003906,48
2,2.6426839784201928,0.3054915254237288,2.238195596007526,0.37817258883248733,1.0838325310462448e-05,3.0453789234161377,48
3,1.9666592875173536,0.46671186440677964,1.6161720716408667,0.5456852791878173,1.0830303881445446e-05,2.566113233566284,48
4,1.3886779022055158,0.6367457627118644,1.1459640772814679,0.6846446700507615,1.0816943629130997e-05,1.8366518020629883,48
5,0.9546771715131857,0.7773559322033898,0.7958623756309451,0.7956852791878173,1.079825773847513e-05,1.3857544660568237,48
6,0.6544692948066582,0.8604745762711864,0.5851114872597196,0.850253807106599,1.0774264650195946e-05,0.9643653035163879,48
7,0.4492547749503184,0.912135593220339,0.4173510976249191,0.8978426395939086,1.074498804257486e-05,0.7744964957237244,48
8,0.30317115641044357,0.9429152542372882,0.3338789697831052,0.9175126903553299,1.0710456808088983e-05,0.49144211411476135,48
9,0.21766145885192742,0.9642033898305085,0.24819084574577166,0.9416243654822335,1.0670705024897747e-05,0.4304828941822052,48
10,0.1585004492028285,0.9776271186440678,0.21460478974099692,0.9467005076142132,1.0625771923211873e-05,0.29185691475868225,48
11,0.11508329718193766,0.984,0.16360363405821893,0.9631979695431472,1.0575701846577883e-05,0.26249897480010986,48
12,0.09542977872945495,0.9849491525423729,0.14804624221027654,0.9651015228426396,1.0520544208116382e-05,0.24204067885875702,48
13,0.07263860142736112,0.9907796610169491,0.14093876420638435,0.9631979695431472,1.046035344175727e-05,0.2081262320280075,48
14,0.06346744877554603,0.991593220338983,0.12631594051186204,0.9657360406091371,1.039518894852002e-05,0.2291572540998459,48
15,0.05353788157539852,0.9934915254237288,0.12498039105992179,0.9670050761421319,1.0325115037892061e-05,0.14649562537670135,48
16,0.04346524017897703,0.9945762711864407,0.0912349420613822,0.975253807106599,1.025020086436305e-05,0.26457199454307556,48
17,0.03534168014814288,0.9956610169491525,0.09651051437822619,0.9720812182741116,1.0170520359177765e-05,0.1028568372130394,48
18,0.03169429160073652,0.9962033898305085,0.09597003395872446,0.9727157360406091,1.008615215737488e-05,0.12742562592029572,48
19,0.026883284588865304,0.9966101694915255,0.09617150050639955,0.9689086294416244,9.997179520183676e-06,0.07287832349538803,48
20,0.024315462648615997,0.9968813559322034,0.0865232597204483,0.9771573604060914,9.903690252855265e-06,0.14383389055728912,48
21,0.02389424799660505,0.9968813559322034,0.09133051386750705,0.9733502538071066,9.805776618009405e-06,0.12849386036396027,48
22,0.019325605890255865,0.9978305084745762,0.08045800877758656,0.9765228426395939,9.70353524458243e-06,0.0954761877655983,48
23,0.0194756860262004,0.9972881355932204,0.08532598876715804,0.975253807106599,9.597067032466168e-06,0.0944097712635994,48
24,0.015040670767679053,0.9978305084745762,0.07944665206974458,0.975253807106599,9.486477052931909e-06,0.07792158424854279,48
25,0.01421746900324094,0.9981016949152542,0.06757522386446746,0.9784263959390863,9.371874444937764e-06,0.1687113493680954,48
26,0.01427302776232867,0.9975593220338983,0.07009750444366393,0.9771573604060914,9.253372307421682e-06,0.07708228379487991,48
27,0.014819890090659009,0.9976949152542373,0.06245707173070629,0.9777918781725888,9.131087587686459e-06,0.14580176770687103,48
28,0.013452531607726873,0.9979661016949153,0.0779970325842774,0.975253807106599,9.005140965986857e-06,0.09928179532289505,48
29,0.01004838699253939,0.9981016949152542,0.07041071772133355,0.9790609137055838,8.875656736432776e-06,0.15304720401763916,48
30,0.008084716205058967,0.9997288135593221,0.07294048542431011,0.975253807106599,8.742762684325963e-06,0.06788603216409683,48
31,0.009916991642471087,0.9985084745762712,0.06138594608356807,0.9815989847715736,8.606589960051356e-06,0.14172326028347015,48
32,0.0084724532395475,0.9993220338983051,0.065652374618422,0.9784263959390863,8.467272949647478e-06,0.1738874465227127,48
33,0.00887079215453843,0.9983728813559322,0.05867408009997668,0.9809644670050761,8.324949142183655e-06,0.07671564072370529,48
34,0.007250734869706428,0.9991864406779661,0.061856054744640655,0.9815989847715736,8.179758994074891e-06,0.04649515450000763,48
35,0.006216922302809307,0.9993220338983051,0.06708214065499679,0.9796954314720813,8.031845790468351e-06,0.06555280834436417,48
36,0.005658488217930672,0.999593220338983,0.06556391694020423,0.9790609137055838,7.881355503838217e-06,0.042389750480651855,48
37,0.008344153989169557,0.9981016949152542,0.06858877074014783,0.9790609137055838,7.72843664992848e-06,0.062015581876039505,48
38,0.008313969332361752,0.9983728813559322,0.06712496283683964,0.9796954314720813,7.573240141185831e-06,0.0842965841293335,48
39,0.007015874040833974,0.9989152542372881,0.06732365427961866,0.9784263959390863,7.415919137827301e-06,0.048935893923044205,48
40,0.005438194811154725,0.999593220338983,0.06437966190124886,0.9777918781725888,7.256628896689606e-06,0.08174443989992142,48
41,0.005425305399854304,0.9989152542372881,0.06289485973089716,0.9809644670050761,7.095526618009405e-06,0.049596767872571945,48
42,0.0066537146477376,0.9987796610169491,0.06536377654919108,0.9784263959390863,6.9327712902856455e-06,0.16478507220745087,48
43,0.006141259506218515,0.9989152542372881,0.06358316564178425,0.9809644670050761,6.768523533377097e-06,0.10105162113904953,48
44,0.00508738391429691,0.9991864406779661,0.06023143993177674,0.9803299492385786,6.602945439989961e-06,0.0689290463924408,48
45,0.0040978245272348494,0.999457627118644,0.06732503420479483,0.9796954314720813,6.436200415711923e-06,0.03444589301943779,48
46,0.005280958847979368,0.9993220338983051,0.05902898490610934,0.9809644670050761,6.268453017750574e-06,0.10415785759687424,48
47,0.004810709334878345,0.9993220338983051,0.05822661836799423,0.9803299492385786,6.099868792535315e-06,0.051338937133550644,48
48,0.004671418879686271,0.9989152542372881,0.05514464771397516,0.983502538071066,5.930614112343009e-06,0.06324388831853867,48
49,0.0037847902331248685,0.999457627118644,0.052444486571670876,0.9841370558375635,5.760856011108646e-06,0.04183472320437431,48
50,0.003697231309646267,0.999457627118644,0.04807256428769501,0.9860406091370558,5.590762019582997e-06,0.06876135617494583,48
51,0.002649278042553845,0.999864406779661,0.04927217786443812,0.9860406091370558,5.4205000000000026e-06,0.020304517820477486,48
52,0.003228996672178224,0.999593220338983,0.04964566806084263,0.9854060913705583,5.250237980417008e-06,0.04009320214390755,48
53,0.0038054313164014937,0.9991864406779661,0.05205926845656226,0.9854060913705583,5.08014398889136e-06,0.06610128283500671,48
54,0.0032873469821919324,0.999457627118644,0.052437205341240384,0.9841370558375635,4.910385887656996e-06,0.04191425442695618,48
55,0.0022693603609578086,0.999864406779661,0.04860060517102962,0.9873096446700508,4.741131207464692e-06,0.03789004310965538,48
56,0.003069248045810451,0.999593220338983,0.05459933499123093,0.9860406091370558,4.572546982249431e-06,0.04375399649143219,48
57,0.002612152960309285,0.999864406779661,0.05656597655497581,0.9828680203045685,4.404799584288083e-06,0.042296599596738815,48
