epoch,train_loss,train_acc,val_loss,val_acc,LR,batch_loss,batch_size
1,3.2703788844869055,0.125103220478943,3.08294411780129,0.2676056338028169,1.0224997310953242e-05,3.4049835205078125,64
2,2.88681149358038,0.2603908615469309,2.456184978216467,0.29577464788732394,1.0222474601486486e-05,3.145915985107422,64
3,2.314196603737224,0.3816405174786678,1.8669443964398522,0.45539906103286387,1.021490896269589e-05,2.709017276763916,64
4,1.761921882137201,0.5283512248830168,1.4525608148933016,0.5727699530516432,1.0202307860953532e-05,2.168525218963623,64
5,1.2900862989759039,0.681943297550234,1.0938151310866988,0.7136150234741784,1.018468373202548e-05,1.6159034967422485,64
6,0.9123509902124591,0.8011285439031104,0.8921904118967728,0.7511737089201878,1.0162053968799199e-05,1.235023021697998,64
7,0.6480555622793576,0.8740710156895128,0.6488681936487906,0.8544600938967136,1.013444090411887e-05,0.9358524680137634,64
8,0.4604528229032506,0.9205890448665015,0.5659505640257132,0.8497652582159625,1.0101871788745566e-05,0.6612207889556885,64
9,0.3294056845767879,0.9467382328654005,0.48411447187544593,0.8779342723004695,1.0064378764464043e-05,0.4786706566810608,64
10,0.24054643848104448,0.9666941921277181,0.43639602312739467,0.9014084507042254,1.0021998832362682e-05,0.47533515095710754,64
11,0.177221774054138,0.976465730800991,0.3894470297324825,0.9107981220657277,9.974773816317873e-06,0.3495747447013855,64
12,0.12900115212001587,0.9856867602532342,0.3397514842485598,0.9154929577464789,9.92275032171891e-06,0.23381680250167847,64
