epoch,train_loss,train_acc,val_loss,val_acc
1,1.2790403502270327,0.6459661016949153,0.62332586165007,0.8293147208121827
2,0.18135255740860762,0.9654237288135593,0.3730262493724145,0.8883248730964467
3,0.07020333745368457,0.9879322033898305,0.132135989059349,0.9695431472081218
4,0.02050184214392961,0.9978305084745762,0.10382717654941045,0.9689086294416244
5,0.010795369047229574,0.9991864406779661,0.10177521260105414,0.9708121827411168
6,0.03363173190820015,0.9933559322033898,0.10365510544725481,0.9739847715736041
7,0.025515110328793524,0.9959322033898305,0.16932361765863932,0.949238578680203
8,0.03650677877361492,0.992135593220339,0.22684215778853686,0.9282994923857868
9,0.06588611854436034,0.9837288135593221,0.42402859296895523,0.875
10,0.023909564156653518,0.9955254237288136,0.09069513633544675,0.9790609137055838
11,0.011935198046393314,0.9981016949152542,0.0747691299198999,0.9815989847715736
12,0.013422117355516402,0.9966101694915255,0.11553045490350064,0.9638324873096447
13,0.03116615463464947,0.9932203389830508,0.11779843539302119,0.9676395939086294
14,0.00459892512731633,0.999593220338983,0.04622147980897787,0.9860406091370558
15,0.0030371005979634947,0.999593220338983,0.034438531963996176,0.9904822335025381
16,0.0174827680198823,0.9948474576271187,0.20658862648111045,0.9359137055837563
17,0.030898865202725945,0.991864406779661,0.7437342172346745,0.7956852791878173
18,0.049323848820591376,0.9868474576271187,0.11922969584008158,0.9670050761421319
19,0.02495307294670808,0.9937627118644068,0.1435596754556985,0.9562182741116751
20,0.00853616148650141,0.9989152542372881,0.0490421930323284,0.9873096446700508
